date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,6276,14000,0,207,14207,TPEX
2026-01-02,6279,-48000,0,-2172,-50172,TPEX
2026-01-02,6284,1212000,0,8785,1220785,TPEX
2026-01-02,6290,-276782,3500,428659,155377,TPEX
2026-01-02,6291,-95000,-5000,42243,-57757,TPEX
2026-01-02,6292,-1000,0,0,-1000,TPEX
2026-01-02,6294,-5000,0,546,-4454,TPEX
2026-01-02,6411,69000,0,0,69000,TPEX
2026-01-02,6417,-10000,0,0,-10000,TPEX
2026-01-02,6418,-3000,0,-319,-3319,TPEX
2026-01-02,6419,24000,0,0,24000,TPEX
2026-01-02,6425,269050,0,354,269404,TPEX
2026-01-02,6432,121000,0,0,121000,TPEX
2026-01-02,6435,-27000,0,-246,-27246,TPEX
2026-01-02,6441,3000,0,0,3000,TPEX
2026-01-02,6461,0,0,771,771,TPEX
2026-01-02,6462,-123980,0,-18289,-142269,TPEX
2026-01-02,6465,37437,0,2000,39437,TPEX
2026-01-02,6469,76000,0,-10452,65548,TPEX
2026-01-02,6470,55000,0,0,55000,TPEX
2026-01-02,6474,5000,0,0,5000,TPEX
2026-01-02,6482,-1000,0,0,-1000,TPEX
2026-01-02,6485,724000,0,29577,753577,TPEX
2026-01-02,6486,49000,0,0,49000,TPEX
